Timestamp,Product Name,Sale Price(USD),Original Price(USD),Model,SKU,Rating,Link
"2022-04-10, 00:46:58.075116","STM - Dux Plus Case for Apple® iPad® Pro 11"" - Black",48.99,64.95,STM-222-197JV-01,6359559,4.0,https://www.bestbuy.com/site/stm-dux-plus-case-for-apple-ipad-pro-11-black/6359559.p?skuId=6359559
"2022-04-10, 00:46:59.471567","SaharaCase - Magnetic Smart Folio Case for Apple® iPad® Pro 11"" - Black",54.99,No Sale,No Model,No SKU Found,5.0,https://www.bestbuy.com/site/saharacase-magnetic-smart-folio-case-for-apple-ipad-pro-11-black/6332648.p?skuId=6332648
"2022-04-10, 00:46:59.472568",Apple - Smart Folio for 11-inch iPad Pro (3rd Generation) - Black,79.00,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/apple-smart-folio-for-11-inch-ipad-pro-3rd-generation-black/6340374.p?skuId=6340374
"2022-04-10, 00:46:59.473068","ZAGG - Messenger Keyboard Folio Case for Apple® iPad® Pro 11"" - Black",69.99,No Sale,No Model,No SKU Found,3.0,https://www.bestbuy.com/site/zagg-messenger-keyboard-folio-case-for-apple-ipad-pro-11-black/6356786.p?skuId=6356786
"2022-04-10, 00:46:59.474069","ZAGG - Rugged Book Go Keyboard Folio Case for Apple® iPad® Pro 11"" (1st Generation 2018 and 2nd Generation 2020) - Black",110.99,Reg $129.99,103104614,6400050,3.0,https://www.bestbuy.com/site/zagg-rugged-book-go-keyboard-folio-case-for-apple-ipad-pro-11-1st-generation-2018-and-2nd-generation-2020-black/6400050.p?skuId=6400050
"2022-04-10, 00:46:59.475070","Catalyst - Case for Apple® iPad® Pro 11"" - Stealth Black",149.99,No Sale,No Model,No SKU Found,3.0,https://www.bestbuy.com/site/catalyst-case-for-apple-ipad-pro-11-stealth-black/6395949.p?skuId=6395949
"2022-04-10, 00:46:59.476071","SaharaCase - Folio Case for Apple® iPad® Pro 11"" (3rd Generation 2021) - Blue Marble",29.99,No Sale,No Model,No SKU Found,Check Manually,https://www.bestbuy.com/site/saharacase-folio-case-for-apple-ipad-pro-11-3rd-generation-2021-blue-marble/6456599.p?skuId=6456599
"2022-04-10, 00:46:59.477072",ZUGU - iPad Pro 11 Case (2nd/3rd Gen) 2020/2021 - Black,59.99,No Sale,No Model,No SKU Found,5.0,https://www.bestbuy.com/site/zugu-ipad-pro-11-case-2nd-3rd-gen-2020-2021-black/6478026.p?skuId=6478026
"2022-04-10, 00:46:59.477572","SaharaCase - DualShock Series Case for Apple iPad Pro 11"" (3rd Generation 2021) - Black",59.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/saharacase-dualshock-series-case-for-apple-ipad-pro-11-3rd-generation-2021-black/6456570.p?skuId=6456570
"2022-04-10, 00:46:59.478573","SaharaCase - Protection Case for Apple® iPad® Pro 11"" (2nd Generation 2020) - Black",49.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/saharacase-protection-case-for-apple-ipad-pro-11-2nd-generation-2020-black/6409928.p?skuId=6409928
"2022-04-10, 00:46:59.479574",Woolnut - Sleeve Case for Select Apple iPad Pro and iPad Air Tablets - Black,89.00,No Sale,No Model,No SKU Found,Check Manually,https://www.bestbuy.com/site/woolnut-sleeve-case-for-select-apple-ipad-pro-and-ipad-air-tablets-black/6452921.p?skuId=6452921
"2022-04-10, 00:46:59.481075","SaharaCase - Folio Case for Apple iPad Pro 11"" (2nd Generation 2020 and 3rd Gen 2021) - Black/White",29.99,No Sale,No Model,No SKU Found,3.0,https://www.bestbuy.com/site/saharacase-folio-case-for-apple-ipad-pro-11-2nd-generation-2020-and-3rd-gen-2021-black-white/6429111.p?skuId=6429111
"2022-04-10, 00:46:59.481576","STM dux plus (stm-222-335KZ-01) for iPad Pro 11"" 3rd gen/11"" 2nd gen/11"" 1st gen COM - black",69.95,No Sale,No Model,No SKU Found,Check Manually,https://www.bestbuy.com/site/stm-dux-plus-stm-222-335kz-01-for-ipad-pro-11-3rd-gen-11-2nd-gen-11-1st-gen-com-black/6487699.p?skuId=6487699
"2022-04-10, 00:46:59.482576","STM dux shell magic folio (stm-222-295KZ-01) for iPad Pro 11"" 3rd gen/11"" 2nd gen/11"" 1st gen AP - black",69.95,No Sale,No Model,No SKU Found,Check Manually,https://www.bestbuy.com/site/stm-dux-shell-magic-folio-stm-222-295kz-01-for-ipad-pro-11-3rd-gen-11-2nd-gen-11-1st-gen-ap-black/6487694.p?skuId=6487694
"2022-04-10, 00:46:59.483077","STM dux shell magic folio (stm-222-304KZ-01) iPad Pro 11"" 3rd gen/2nd gen/1st gen COM - black",69.95,No Sale,No Model,No SKU Found,Check Manually,https://www.bestbuy.com/site/stm-dux-shell-magic-folio-stm-222-304kz-01-ipad-pro-11-3rd-gen-2nd-gen-1st-gen-com-black/6487710.p?skuId=6487710
"2022-04-10, 00:46:59.484078","STM - Atlas Folio Case for Apple® iPad® Pro 11"" - Charcoal",54.95,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/stm-atlas-folio-case-for-apple-ipad-pro-11-charcoal/6359569.p?skuId=6359569
"2022-04-10, 00:46:59.485079","SaharaCase - Multi-Angle Folio Case for Apple iPad Pro 11"" (3rd Generation 2021) - Aqua",49.99,No Sale,No Model,No SKU Found,5.0,https://www.bestbuy.com/site/saharacase-multi-angle-folio-case-for-apple-ipad-pro-11-3rd-generation-2021-aqua/6456601.p?skuId=6456601
"2022-04-10, 00:46:59.486080","STM - Dux Shell Folio Case for Apple® iPad® Pro 11""",52.99,69.95,STM-222-221JV-01,6359577,3.0,https://www.bestbuy.com/site/stm-dux-shell-folio-case-for-apple-ipad-pro-11/6359577.p?skuId=6359577
"2022-04-10, 00:46:59.487080","SaharaCase - Protection Case for Apple® iPad® Pro 11"" (2nd Gen 2020) - Black",49.99,No Sale,No Model,No SKU Found,3.0,https://www.bestbuy.com/site/saharacase-protection-case-for-apple-ipad-pro-11-2nd-gen-2020-black/6409954.p?skuId=6409954
"2022-04-10, 00:46:59.487581","SaharaCase - Water-Resistant Case for Apple iPad Pro 11"" (3rd Generation 2021) - Black",99.90,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/saharacase-water-resistant-case-for-apple-ipad-pro-11-3rd-generation-2021-black/6456548.p?skuId=6456548
"2022-04-10, 00:46:59.488582","SaharaCase - Custom Design Smart Folio Case for Apple® iPad® Pro 11"" - Puppy Blue",49.99,No Sale,No Model,No SKU Found,3.0,https://www.bestbuy.com/site/saharacase-custom-design-smart-folio-case-for-apple-ipad-pro-11-puppy-blue/6359652.p?skuId=6359652
"2022-04-10, 00:46:59.489583","SaharaCase - Keyboard Folio Case for Apple® iPad® Pro 11"" (2nd Generation 2020) - Black",99.99,No Sale,No Model,No SKU Found,3.0,https://www.bestbuy.com/site/saharacase-keyboard-folio-case-for-apple-ipad-pro-11-2nd-generation-2020-black/6429252.p?skuId=6429252
"2022-04-10, 00:46:59.490583","SaharaCase - Marble Series Folio Case for Apple iPad Pro 11"" (3rd Generation 2021) - Purple",29.99,No Sale,No Model,No SKU Found,5.0,https://www.bestbuy.com/site/saharacase-marble-series-folio-case-for-apple-ipad-pro-11-3rd-generation-2021-purple/6456480.p?skuId=6456480
"2022-04-10, 00:46:59.491584","STM - Dux Studio Folio Case for Apple® iPad® Pro 11"" - Midnight Blue",79.95,No Sale,No Model,No SKU Found,3.0,https://www.bestbuy.com/site/stm-dux-studio-folio-case-for-apple-ipad-pro-11-midnight-blue/6395469.p?skuId=6395469
